commodityCode,commodityName
0577400,"Almonds, Shelled Basis"
0011000,"Animal Numbers, Cattle"
0013000,"Animal Numbers, Swine"
0574000,"Apples, Fresh"
0430000,Barley
0579305,"Cherries (Sweet&Sour), Fresh"
0711100,"Coffee, Green"
0440000,Corn
2631000,Cotton
0230000,"Dairy, Butter"
0240000,"Dairy, Cheese"
0224400,"Dairy, Dry Whole Milk Powder"
0223000,"Dairy, Milk, Fluid"
0224200,"Dairy, Milk, Nonfat Dry"
0572220,"Grapefruit, Fresh"
0575100,"Grapes, Fresh Table"
0572120,"Lemons/Limes, Fresh"
0813700,"Meal, Copra"
0813300,"Meal, Cottonseed"
0814200,"Meal, Fish"
0813800,"Meal, Palm Kernel"
0813200,"Meal, Peanut"
0813600,"Meal, Rapeseed"
0813100,"Meal, Soybean"
0813101,"Meal, Soybean (Local)"
0813500,"Meal, Sunflowerseed"
0111000,"Meat, Beef and Veal"
0115000,"Meat, Chicken"
0113000,"Meat, Swine"
0459100,Millet
0459900,Mixed Grain
0452000,Oats
4242000,"Oil, Coconut"
4233000,"Oil, Cottonseed"
4235000,"Oil, Olive"
4243000,"Oil, Palm"
4244000,"Oil, Palm Kernel"
4234000,"Oil, Peanut"
4239100,"Oil, Rapeseed"
4232000,"Oil, Soybean"
4232001,"Oil, Soybean (Local)"
4236000,"Oil, Sunflowerseed"
2231000,"Oilseed, Copra"
2223000,"Oilseed, Cottonseed"
2232000,"Oilseed, Palm Kernel"
2221000,"Oilseed, Peanut"
2226000,"Oilseed, Rapeseed"
2222000,"Oilseed, Soybean"
2222001,"Oilseed, Soybean (Local)"
2224000,"Oilseed, Sunflowerseed"
0585100,Orange Juice
0571120,"Oranges, Fresh"
0579309,"Peaches & Nectarines, Fresh"
0579220,"Pears, Fresh"
0577907,"Pistachios, Inshell Basis"
0114200,"Poultry, Meat, Broiler"
0422110,"Rice, Milled"
0451000,Rye
0459200,Sorghum
0612000,"Sugar, Centrifugal"
0571220,"Tangerines/Mandarins, Fresh"
0577901,"Walnuts, Inshell Basis"
0410000,Wheat
