unitId,unitDescription
1,(1000 BUSHES)       
2,(1000 60 KG BAGS)   
3,(1000 COLONIES)     
4,(1000 HA)           
5,(1000 HEAD)         
6,(1000 HL)           
7,(1000 MT CWE)       
8,(1000 MT)           
9,(1000 PCS)          
10,(1000 TREES)        
11,(Dec. Fraction)     
12,(HA)                
13,(HECTARES)          
14,(KG)                
15,(MIL HEAD)          
16,(MIL PCS)           
17,(MILLION TREES)     
18,(MT RAW EQ)         
19,(MT RAW EW)         
20,(MT RE)             
21,(MT)                
22,"(MT, Net Weight)    "
23,(PERCENT)           
24,(RATIO)             
25,(1000 CUBIC METERS) 
26,(MT/HA)             
27,1000 480 lb. Bales  
28,(Bales/HA)          
29,(KG/HA)             
30,ACRES               
31,BUSHELS             
32,HUNDREDWEIGHT       
33,MILLING RATE        
34,BUSHELS/TON         
35,IMPORT MILLING RATE 
36,Bushels             
37,SHORT TONS          
38,MILLION LBS         
39,BILLION LBS         
40,(HEAD)              
41,(PEOPLE)            
42,(MONTHS)            
